Date,AGRO.BA,ALUA.BA,AUSO.BA,BBAR.BA,BHIP.BA,BMA.BA,BOLT.BA,BPAT.BA,BRIO.BA,BRIO6.BA,BYMA.BA,CADO.BA,CAPX.BA,CARC.BA,CECO2.BA,CELU.BA,CEPU.BA,CGPA2.BA,COME.BA,CRES.BA,CTIO.BA,CVH.BA,DGCU2.BA,DOME.BA,DYCA.BA,EDLH.BA,EDN.BA,EMDE.BA,FERR.BA,FIPL.BA,GAMI.BA,GARO.BA,GBAN.BA,GCLA.BA,GGAL.BA,GRIM.BA,HARG.BA,HAVA.BA,HULI.BA,INAG.BA,INTR.BA,INVJ.BA,IRCP.BA,IRSA.BA,LEDE.BA,LOMA.BA,LONG.BA,METR.BA,MIRG.BA,MOLA.BA,MOLI.BA,MORI.BA,MTR.BA,OEST.BA,PAMP.BA,PATA.BA,PGR.BA,POLL.BA,RIGO.BA,ROSE.BA,SAMI.BA,SEMI.BA,SUPV.BA,TECO2.BA,TGLT.BA,TGNO4.BA,TGSU2.BA,TRAN.BA,TXAR.BA,VALO.BA,YPFD.BA,^MERV
2011-01-03,64087.0,442460.0,295956.0,728413.0,530929.0,39434.0,625664.0,805570.0,38540.0,119096.0,,38378.0,33702.0,90019.0,101675.0,169038.0,141856.0,8059.0,1240144.0,9732.0,1200.0,,650.0,,33718.0,,539971.0,,27448.0,133348.0,6314.0,212226.0,0.0,40154.0,2050510.0,25119.0,45743.0,,0.0,2912.0,42390.0,,,67532.0,435549.0,,206285.0,35504.0,20763.0,,50935.0,21422.0,,45597.0,2184778.0,3560.0,,1608.0,1993.0,59019.0,58500.0,136050.0,,458812.0,5300.0,231351.0,103625.0,849791.0,0.0,0.0,24010.0,0.0
2011-01-04,231304.0,748780.0,190294.0,510378.0,1529600.0,68600.0,447899.0,550500.0,27968.0,42176.0,,50512.0,20433.0,37625.0,118141.0,129944.0,75320.0,4650.0,2572103.0,72771.0,5000.0,,4107.0,,1314.0,,666100.0,,23345.0,63096.0,1632.0,66056.0,0.0,11579.0,1466500.0,27009.0,28287.0,,0.0,,13302.0,,,85322.0,352300.0,,145846.0,22000.0,61974.0,,95460.0,4958.0,,8500.0,1232000.0,,,6696.0,160.0,12891.0,18541.0,108881.0,,640400.0,0.0,301411.0,226696.0,1255800.0,0.0,0.0,33800.0,0.0
2011-01-05,48958.0,1085414.0,464795.0,286200.0,545000.0,196700.0,590624.0,276600.0,25432.0,61680.0,,142472.0,51643.0,210444.0,68719.0,202443.0,264896.0,1100.0,3778950.0,65382.0,6338.0,,9371.0,,16586.0,,484800.0,,21520.0,122652.0,9288.0,105465.0,0.0,3372.0,1039900.0,39761.0,53864.0,,0.0,204.0,0.0,,,168256.0,278100.0,,76390.0,43617.0,113256.0,,70592.0,3921.0,,154850.0,1331000.0,1610.0,,5937.0,0.0,42683.0,22457.0,101037.0,,558600.0,200.0,125368.0,79666.0,1091000.0,0.0,0.0,33400.0,0.0
2011-01-06,371354.0,2103713.0,428810.0,266799.0,469207.0,108161.0,879104.0,270587.0,57916.0,84328.0,,158069.0,45231.0,324933.0,62803.0,114645.0,253824.0,1208.0,2721493.0,129355.0,8909.0,,3000.0,,5300.0,,614966.0,,35314.0,93984.0,16104.0,67465.0,0.0,15587.0,974556.0,21685.0,208334.0,,0.0,,10279.0,,,241493.0,360748.0,,74562.0,24912.0,79854.0,,55540.0,18777.0,,1227.0,2407482.0,13000.0,,9124.0,3512.0,450514.0,13970.0,143218.0,,1376323.0,0.0,184153.0,55634.0,897978.0,0.0,0.0,27552.0,0.0
2011-01-07,249620.0,826858.0,87821.0,162893.0,438617.0,64583.0,542099.0,238431.0,29596.0,27680.0,,60127.0,13099.0,116640.0,15966.0,155149.0,305712.0,15006.0,1569170.0,46408.0,11150.0,,9000.0,,6788.0,,261768.0,,38188.0,51635.0,6865.0,33380.0,0.0,1740.0,984365.0,23410.0,146431.0,,0.0,47.0,25556.0,,,63585.0,338851.0,,325477.0,123844.0,54264.0,,48036.0,11102.0,,,1557418.0,2770.0,,4135.0,5841.0,184654.0,7299.0,185627.0,,1183607.0,4500.0,107144.0,21705.0,453373.0,0.0,0.0,14688.0,0.0
2011-01-10,54104.0,411236.0,40366.0,69992.0,398592.0,46070.0,727094.0,74702.0,71132.0,73872.0,,31997.0,3968.0,106659.0,8850.0,54892.0,41472.0,,645406.0,34649.0,,,2600.0,,,,298984.0,1904.0,8688.0,46899.0,4154.0,40140.0,0.0,9559.0,1421910.0,11460.0,30608.0,,0.0,,0.0,,,38429.0,128204.0,,89855.0,,23070.0,,32537.0,28513.0,,,1162379.0,1000.0,,5020.0,1860.0,50101.0,5420.0,90687.0,,348724.0,500.0,58989.0,61693.0,643041.0,0.0,0.0,11067.0,0.0
2011-01-11,38116.0,404940.0,36967.0,297746.0,198800.0,80100.0,937408.0,75400.0,36980.0,87544.0,,37418.0,23983.0,53234.0,36277.0,92974.0,86824.0,1350.0,868551.0,46972.0,928.0,,,10244.0,4095.0,,315300.0,,16708.0,110723.0,12854.0,24366.0,0.0,7452.0,1169600.0,9877.0,10008.0,,0.0,,0.0,,,57567.0,133000.0,,27865.0,26700.0,40170.0,,39307.0,8446.0,,200.0,1117100.0,2000.0,,4905.0,1555.0,35051.0,20408.0,168713.0,,395800.0,5000.0,126683.0,39565.0,566400.0,0.0,0.0,8300.0,0.0
2011-01-12,60333.0,467389.0,157211.0,298553.0,332477.0,30868.0,1089418.0,160651.0,124348.0,336320.0,,12985.0,10296.0,30406.0,8004.0,70520.0,57648.0,6000.0,867954.0,26716.0,24647.0,,7000.0,4182.0,3000.0,,378445.0,,0.0,56300.0,12936.0,563.0,0.0,1341.0,730590.0,4759.0,12991.0,,0.0,,13405.0,,,83381.0,128064.0,,44498.0,37440.0,29058.0,,49505.0,7451.0,,7000.0,1149748.0,3370.0,,6958.0,2375.0,29112.0,34180.0,90517.0,,320880.0,3000.0,78778.0,73580.0,543874.0,0.0,0.0,14444.0,0.0
2011-01-13,54166.0,546309.0,130000.0,73465.0,275200.0,78700.0,421499.0,246700.0,38800.0,73200.0,,25034.0,2600.0,26768.0,29300.0,62500.0,30216.0,0.0,1890209.0,43160.0,,,0.0,,,,238600.0,,0.0,132272.0,9100.0,7042.0,0.0,6890.0,858700.0,24201.0,34800.0,,0.0,,0.0,,,27542.0,80000.0,,178067.0,43300.0,37800.0,,34379.0,3034.0,,0.0,1222500.0,0.0,,4590.0,0.0,49700.0,34218.0,34870.0,,320100.0,0.0,115500.0,104887.0,408100.0,0.0,0.0,12000.0,0.0
2011-01-14,32508.0,265733.0,73316.0,105243.0,261100.0,184200.0,517499.0,58300.0,3388.0,35392.0,,68771.0,2340.0,63376.0,2219.0,68149.0,49352.0,,566144.0,9958.0,,,4000.0,,,,265000.0,,0.0,60992.0,13295.0,1690.0,0.0,7594.0,436000.0,11001.0,6772.0,,0.0,,6271.0,,,18035.0,139700.0,,36261.0,25043.0,36222.0,,37473.0,108.0,,11524.0,313000.0,590.0,,4069.0,941.0,6500.0,13315.0,26941.0,,168700.0,0.0,40681.0,59615.0,371900.0,0.0,0.0,18200.0,0.0
